latitude,longitude,population
45.74125,7.3106944,0.78444
45.7423611,7.3104167,0.78444
45.7415278,7.3118056,0.78444
45.7406944,7.3095833,0.78444
45.74125,7.3123611,0.78444
45.7420833,7.31125,0.78444
44.31625,9.3301389,1.101288
44.3170833,9.3293056,1.101288
44.3168056,9.3295833,1.101288
44.3176389,9.3290278,1.101288
44.3165278,9.32875,1.101288
44.3173611,9.32875,1.101288
44.3156944,9.3304167,1.101288
44.3159722,9.3295833,1.101288
44.3156944,9.3301389,1.101288
44.3165278,9.3293056,1.101288
44.3165278,9.3301389,1.101288
44.3168056,9.3281944,1.101288
44.3154167,9.3298611,1.101288
44.3156944,9.3298611,1.101288
44.3156944,9.3309722,1.101288
44.3159722,9.3304167,1.101288
44.3168056,9.3298611,1.101288
44.3173611,9.3290278,1.101288
44.3154167,9.33125,1.101288
44.3159722,9.3306944,1.101288
44.31625,9.3295833,1.101288
44.3154167,9.3309722,1.101288
44.3154167,9.3306944,1.101288
44.3156944,9.3306944,1.101288
44.3170833,9.3284722,1.101288
44.3170833,9.3290278,1.101288
44.3181944,9.3295833,1.101288
44.31625,9.3306944,1.101288
44.3165278,9.3298611,1.101288
44.3170833,9.32875,1.101288
44.3159722,9.3298611,1.101288
44.3159722,9.3301389,1.101288
44.31625,9.32875,1.101288
44.3154167,9.3301389,1.101288
44.3154167,9.3304167,1.101288
44.3168056,9.3290278,1.101288
44.3170833,9.3298611,1.101288
44.3168056,9.3279167,1.101288
44.31625,9.3298611,1.101288
44.31625,9.3304167,1.101288
44.3151389,9.3309722,1.101288
44.3165278,9.3304167,1.101288
44.31625,9.3293056,1.101288
44.3170833,9.3279167,1.101288
