geometry,objectid,fac_name,name,address,city_state,city,state,zip,operating,medicare,medicare_i,medicaid,medicaid_i,certified,county,admin,phone,emergency,emergenc_1,emergenc_2,emergenc_3,date_geoco,source,geo_tract,geo_county,geo_zip,factype,symbol,latitude,longitude,type
POINT (-104.632767 38.268394),3001,HUMAN TOUCH UNSKILLED SERVICES PUEBLO INC (04L553),HUMAN TOUCH UNSKILLED SERVICES PUEBLO INC,1008 W ABRIENDO AVE,"PUEBLO, CO 81004",PUEBLO,CO,81004,01-ACTIVE,f,,f,,0/0,PUEBLO,Mr DAVID FORD,(719) 544-0282,,,(719) 544-0277,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101001500,PUEBLO,81004,Home Care Agency - In-Home Support Services,Home Health,38.268394,-104.632767,HCA-IHSS
POINT (-104.671387 38.228497),3002,BROOKDALE EL CAMINO (2306MT),BROOKDALE EL CAMINO,4723 SURFWOOD LANE,"PUEBLO, CO 81005",PUEBLO,CO,81005,01-ACTIVE,f,,f,,0/75,PUEBLO,JANELLA SANDOVAL,(719) 561-1400,Janella Sandoval,(719) 561-1400,(719) 561-1900,jsandoval@brookdaleliving.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002801,PUEBLO,81005,Assisted Living Residence,Assisted Living Residence/Nursing Home,38.228497,-104.671387,ALRONLY
POINT (-104.668221 38.2281569999),3003,GOLDEN HORIZON (230663),GOLDEN HORIZON,2109 CHAUTARD,"PUEBLO, CO 81005",PUEBLO,CO,81005,01-ACTIVE,f,,t,18778275,14/14,PUEBLO,Mrs JOSEPHINE HARRIMAN,(719) 583-9132,,,(719) 564-0344,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002801,PUEBLO,81005,Assisted Living Residence,Assisted Living Residence/Nursing Home,38.228157,-104.668221,ALR/ACF
POINT (-104.665939 38.2268829999),3004,LIFE CARE CENTER OF PUEBLO (020641),LIFE CARE CENTER OF PUEBLO,2118 CHATALET LN,"PUEBLO, CO 81005",PUEBLO,CO,81005,01-ACTIVE,t,065269,t,5650742,187/187,PUEBLO,Ms MARTHA SCHLINK,(719) 564-2000,Keith Jackson,(719) 238-1232,(719) 564-7741,Keith_Jackson@lcca.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002801,PUEBLO,81005,Nursing Home,Assisted Living Residence/Nursing Home,38.226883,-104.665939,SNF/NF
POINT (-104.660072 38.2318499997),3005,PUEBLO COMMUNITY CONNECTIONS (10F366),PUEBLO COMMUNITY CONNECTIONS,3913 SANDLEWOOD LANE,"PUEBLO, CO 81005",PUEBLO,CO,81005,01-ACTIVE,f,,f,,0/0,PUEBLO,Ms DEE LAVINE,(719) 544-2122,Dee Lavine,(719) 544-2122,,pccdd1@yahoo.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002700,PUEBLO,81005,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,38.23185,-104.660072,HCBS-IDD
POINT (-104.65062 38.2645069997),3006,"ABERDEEN AMBULATORY SURGICAL CENTER, LLC (1606YS)","ABERDEEN AMBULATORY SURGICAL CENTER, LLC",650 DITTMER AVE,"PUEBLO, CO 81005",PUEBLO,CO,81005,01-ACTIVE,t,06C0001053,t,46726560,0/0,PUEBLO,Ms MARY JO KESSLER,(719) 565-2000,Mary Jo Kessler,(719) 251-3203,(719) 565-2222,jo@ck.md,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101001600,PUEBLO,81005,Ambulatory Surgical Center,Surgery or Transplant,38.264507,-104.65062,ASC
POINT (-104.656815 38.2584650001),3007,ABC HOME HEALTH CARE INC (04W354),ABC HOME HEALTH CARE INC,3715 THATCHER AVE,"PUEBLO, CO 81005",PUEBLO,CO,81005,01-ACTIVE,t,067456,t,49107526,0/0,PUEBLO,Ms TAMMY WELDON,(719) 543-2700,Tammy Weldon,,(719) 543-2704,tweldon@abc-hh.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101001600,PUEBLO,81005,Home Health Agency - Medicare/Medicaid,Home Health,38.258465,-104.656815,HHA-1819
POINT (-104.656815 38.2584650001),3008,ABC HOME HEALTH CARE PERSONAL SERVICES INC (10C966),ABC HOME HEALTH CARE PERSONAL SERVICES INC,3715 THATCHER AVE,"PUEBLO, CO 81005",PUEBLO,CO,81005,01-ACTIVE,f,,t,49179551,0/0,PUEBLO,Ms JEANETTE ORTIZ,(719) 543-2700,Jeanette Ortiz,(719) 250-7326,(719) 543-2704,ojeanette7@aol.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101001600,PUEBLO,81005,Home Health Agency - HCA license - personal care homemaker,Home Health,38.258465,-104.656815,HCA-PHS
POINT (-104.656815 38.2584650001),3009,ABC HOME HEALTH CARE PERSONAL SERVICES INC (04N526),ABC HOME HEALTH CARE PERSONAL SERVICES INC,3715 THATCHER AVE,"PUEBLO, CO 81005",PUEBLO,CO,81005,01-ACTIVE,f,,f,,0/0,PUEBLO,Ms JEANETTE ORTIZ,(719) 543-2700,,,(719) 543-2704,ojeanette7@aol.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101001600,PUEBLO,81005,Home Care Agency - In-Home Support Services,Home Health,38.258465,-104.656815,HCA-IHSS
POINT (-104.64534 38.2181659999),3010,PUEBLO DIVERSIFIED INDUSTRIES INC (10I504),PUEBLO DIVERSIFIED INDUSTRIES INC,2828 GRANADA BLVD,"PUEBLO, CO 81005",PUEBLO,CO,81005,01-ACTIVE,f,,f,,0/0,PUEBLO,Mr DAVID PUMP,(719) 564-0000,Karen Lillie,(719) 564-0000,,klillie@pdipueblo.org;rforbes@pdipueblo.org,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002806,PUEBLO,81005,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,38.218166,-104.64534,HCBS-IDD
