geometry,objectid,id,name,address,city,state,zip,zip4,telephone,type,status,population,county,countyfips,country,latitude,longitude,naics_code,naics_desc,source,sourcedate,val_method,val_date,website,state_id,alt_name,st_fips,owner,ttl_staff,beds,trauma,helipad
POINT (-71.049055546 42.378509076),14510,0010602129,SPAULDING REHABILITATION HOSPITAL,300 1ST AVE,BOSTON,MA,02129,NOT AVAILABLE,(617) 573-7000,REHABILITATION,OPEN,132,SUFFOLK,25025,USA,42.378509,-71.049056,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY,2018-03-19T00:00:00.000Z,http://spauldingrehab.org/,2321,NOT AVAILABLE,25,NON-PROFIT,-999,132,NOT AVAILABLE,NOT AVAILABLE
POINT (-70.468102837 41.732984497),14511,0012602537,SPAULDING REHABILITATION HOSPITAL CAPE COD,311 SERVICE ROAD,SANDWICH,MA,02537,NOT AVAILABLE,(508) 833-4000,REHABILITATION,OPEN,60,BARNSTABLE,25001,USA,41.732984,-70.468103,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://spauldingrehab.org/locations/sandwich-ma/,2FXY,NOT AVAILABLE,25,NON-PROFIT,-999,60,NOT AVAILABLE,N
POINT (-70.9799 42.5018),14512,0003201904,NORTH SHORE MEDICAL CENTER - UNION CAMPUS,500 LYNNFIELD STREET,LYNN,MA,01904,NOT AVAILABLE,(781) 581-9200,GENERAL ACUTE CARE,OPEN,-999,ESSEX,25009,USA,42.5018,-70.9799,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://nsmc.partners.org/locations/union_hospital,2008,NSMC UNION HOSPITAL,25,NON-PROFIT,-999,-999,NOT AVAILABLE,NOT AVAILABLE
POINT (-71.2021 42.189),14513,0004002062,NORWOOD HOSPITAL,800 WASHINGTON ROAD,NORWOOD,MA,02062,NOT AVAILABLE,(781) 769-4000,GENERAL ACUTE CARE,OPEN,215,NORFOLK,25021,USA,42.189,-71.2021,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,https://www.norwood-hospital.org/,2114,NORWOOD HOSPITAL,25,PROPRIETARY,-999,215,NOT AVAILABLE,Y
POINT (-70.9915 42.0879),14514,0002502302,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,680 CENTRE STREET,BROCKTON,MA,02302,NOT AVAILABLE,(508) 941-7000,GENERAL ACUTE CARE,OPEN,197,PLYMOUTH,25023,USA,42.0879,-70.9915,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.signature-healthcare.org,2118,BROCKTON HOSPITAL,25,NON-PROFIT,-999,197,NOT AVAILABLE,NOT AVAILABLE
POINT (-71.102205884 41.912671539),14515,0013102780,TAUNTON STATE HOSPITAL,"60 HODGES AVE, BOX 151",TAUNTON,MA,02780,NOT AVAILABLE,(508) 977-3000,PSYCHIATRIC,OPEN,30,BRISTOL,25005,USA,41.912672,-71.102206,622210,"HOSPITALS, PSYCHIATRIC (EXCEPT CONVALESCENT)",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.mass.gov/eohhs/gov/departments/dmh/,2815,NOT AVAILABLE,25,GOVERNMENT - STATE,-999,45,NOT AVAILABLE,NOT AVAILABLE
POINT (-71.218223198 42.607074197),14516,0013201876,TEWKSBURY HOSPITAL,365 EAST STREET,TEWKSBURY,MA,01876,NOT AVAILABLE,(978) 851-7321,CHRONIC DISEASE,OPEN,675,MIDDLESEX,25017,USA,42.607074,-71.218223,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY,2018-03-19T00:00:00.000Z,http://www.mass.gov/eohhs/gov/departments/dph/programs/hospitals/tewksbury-hospital.html,2825,NOT AVAILABLE,25,GOVERNMENT - STATE,-999,675,NOT AVAILABLE,NOT AVAILABLE
POINT (-71.7923 42.2729),14517,0005301605,UMASS MEMORIAL MEDICAL CENTER - MEMORIAL CAMPUS,119 BELMONT STREET,WORCESTER,MA,01605,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,303,WORCESTER,25027,USA,42.2729,-71.7923,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.umassmemorial.org,2124,UMASS MEMORIAL MEDICAL CENTER,25,NON-PROFIT,-999,303,"LEVEL I, PEDIATRIC II",NOT AVAILABLE
POINT (-71.898827343 42.201899283),14518,0011801542,VIBRA HOSPITAL OF WESTERN MASS CENTRAL CAMPUS,111 HUNTOON MEMORIAL HIGHWAY,LEICESTER,MA,01542,NOT AVAILABLE,(413) 787-6700,LONG TERM CARE,OPEN,47,WORCESTER,25027,USA,42.201899,-71.898827,622310,"EXTENDED CARE HOSPITALS (EXCEPT MENTAL, SUBSTANCE ABUSE)",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.vhwmasscentral.com/,2IMK,NOT AVAILABLE,25,PROPRIETARY,-999,47,NOT AVAILABLE,NOT AVAILABLE
POINT (-72.547438415 42.120518363),14519,0012801109,VIBRA HOSPITAL OF WESTERN MASSACHUSETTS,1400 STATE STREET,SPRINGFIELD,MA,01109,NOT AVAILABLE,(413) 787-6700,LONG TERM CARE,OPEN,127,HAMPDEN,25013,USA,42.120518,-72.547438,622310,"EXTENDED CARE HOSPITALS (EXCEPT MENTAL, SUBSTANCE ABUSE)",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY,2018-03-19T00:00:00.000Z,http://www.vhwmass.com/,2223,NOT AVAILABLE,25,PROPRIETARY,-999,127,NOT AVAILABLE,NOT AVAILABLE
POINT (-70.764458636 42.097623722),14520,0012502359,WESTWOOD/PEMBROKE HEALTH SYSTEM PEMBROKE,199 OAK STREET,PEMBROKE,MA,02359,NOT AVAILABLE,(781) 826-8161,PSYCHIATRIC,OPEN,120,PLYMOUTH,25023,USA,42.097624,-70.764459,622210,"HOSPITALS, PSYCHIATRIC (EXCEPT CONVALESCENT)",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY,2018-03-19T00:00:00.000Z,http://arbourhealth.com/organizations/pembroke-hospital/,2032,NOT AVAILABLE,25,PROPRIETARY,-999,120,NOT AVAILABLE,NOT AVAILABLE
