geometry,objectid_1,objectid,id,name,telephone,address,address2,city,state,zip,zipp4,county,fips,directions,emergtitle,emergtel,emergext,contdate,conthow,geodate,geohow,hsipthemes,naicscode,naicsdescr,geolinkid,x,y,st_vendor,st_version,geoprec,phoneloc,qc_qa,generator,basement,website,tot_staff,eoc_cap,has_food,med_supp,agenonsite,lvlgovop,fax,source,state_id,email,cont1phone,cont1ext,cont1fax,cont1email,cont2phone,cont2ext,cell,cell2,pager,pager_ext,other,other2,dispatch,pocphone,comments,region,type,permanent,class,coverage,ruleid
POINT (-80.1110231998 26.6764733996),1,240,10211071,PALM BEACH COUNTY EMERGENCY OPERATIONS CENTER,561-712-6400,20 SOUTH MILITARY TRAIL,,WEST PALM BEACH,FL,33415,3130,PALM BEACH,12099,,,,,2009-08-31T00:00:00.000Z,PHONE,2009-08-31T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",16998841,-80.111023,26.676473,NAVTEQ,2009Q2,ONENTITY,t,TGS,Y,N,,0,0,,,,COUNTY,,FLDEM,FL_TGS_TEMP_53,,,,,,,,,,,,,,,,,,,,,COUNTY,1
POINT (-81.5088723002 26.7100606996),2,241,10211035,HENDRY COUNTY EMERGENCY OPERATIONS CENTER,863-612-4700,4425 WEST STATE ROAD 80,,LABELLE,FL,33935,0560,HENDRY,12051,,,,,2009-08-31T00:00:00.000Z,PHONE,2009-08-31T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",127630253,-81.508872,26.710061,NAVTEQ,2009Q2,APPROXIMATE,f,TGS,,N,,0,0,,,,COUNTY,,FLDEM,FL_TGS_TEMP_17,,,,,,,,,,,,,,,,,,,,,COUNTY,1
POINT (-80.4807835 27.3741422003),3,244,10211077,SAINT LUCIE COUNTY EMERGENCY OPERATIONS CENTER,772-462-1736,15305 WEST MIDWAY ROAD,,FORT PIERCE,FL,34945,4934,ST LUCIE,12111,,,,,2009-08-31T00:00:00.000Z,PHONE,2009-08-31T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",757011221,-80.480784,27.374142,NAVTEQ,2009Q2,APPROXIMATE,t,TGS,Y,N,,0,0,,,,COUNTY,,FLDEM,FL_TGS_TEMP_59,,,,,,,,,,,,,,,,,,PRIMARY,,,COUNTY,1
POINT (-81.3378262999 28.2785131998),4,256,10211070,OSCEOLA COUNTY EMERGENCY OPERATIONS CENTER,407-742-9000,2586 PARTIN SETTLEMENT ROAD,,KISSIMMEE,FL,34744,7227,OSCEOLA,12097,,,,,2009-09-08T00:00:00.000Z,PHONE,2009-09-08T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",721082362,-81.337826,28.278513,NAVTEQ,2009Q2,APPROXIMATE,t,TGS,Y,N,HTTP://WWW.OSCEOLA.ORG/INDEX.CFM?LSFUSES=DEPARTMENT/EMERGENCYMANAGEMENT,0,0,,,,COUNTY,,FLDEM,FL_TGS_TEMP_52,,,,,,,,,,,,,,,,,,,,,COUNTY,1
POINT (-81.6757850002 29.6447671001),5,258,10211032,PUTNAM COUNTY EMERGENCY SERVICES,386-329-0379,410 SOUTH STATE ROAD 19,,PALATKA,FL,32177,3941,PUTNAM,12107,,,,,2009-08-31T00:00:00.000Z,PHONE,2009-08-31T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",105808914,-81.675785,29.644767,NAVTEQ,2009Q2,ONENTITY,t,TGS,Y,N,,0,0,,,,COUNTY,,FLDEM,FL_TGS_TEMP_14,,,,,,,,,,,,,,,,,,,,,COUNTY,1
POINT (-81.4136457003 29.9042159999),6,319,10215897,SAINT JOHNS COUNTY EMERGENCY MANAGEMENT - SAINT JOHNS COUNTY EMERGENCY OPERATIONS CENTER,904-824-5550,100 EOC DRIVE,,SAINT AUGUSTINE,FL,32092,,ST JOHNS,12109,,,,,2009-08-31T00:00:00.000Z,PHONE,2009-08-31T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",,-81.413646,29.904216,TGS,2009Q2,ONENTITY,t,TGS,Y,N,,0,0,,,,COUNTY,,DHS/FPS,HIFLD_CITY_TGS_TEMP_0589,,,,,,,,,,,,,,,,,,,,,,1
POINT (-80.1589022998 26.1214385997),7,510,10220581,FORT LAUDERDALE EMERGENCY OPERATIONS CENTER,954-828-5700,1300 WEST BROWARD BOULEVARD,FORT LAUDERDALE POLICE DEPARTMENT,FORT LAUDERDALE,FL,33312,,BROWARD,12011,SOUTH SIDE OF WEST BROWARD BOULEVARD BETWEEN SOUTHWEST 12TH AVENUE AND SOUTHWEST 14TH AVENUE.,,,,2009-08-31T00:00:00.000Z,PHONE,2009-08-31T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",17013016,-80.158902,26.121439,NAVTEQ,2009Q2,ONENTITY,t,TGS,,,,0,0,,,,LOCAL,,TGS,,,,,,,,,,,,,,,,,,,,,,,1
POINT (-81.3049476999 29.0294686996),8,1387,10220275,VOLUSIA COUNTY EMERGENCY OPERATIONS CENTER-ALTERNATE,386-736-5920,123 WEST INDIANA AVENUE,COMMERCE C KELLY ADMINISTRATION BUILDING BASEMENT,DELAND,FL,32720,4615,VOLUSIA,12127,,,,,2009-08-31T00:00:00.000Z,PHONE,2009-08-31T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",37897782,-81.304948,29.029469,NAVTEQ,2009Q2,ONENTITY,t,TGS,Y,Y,,0,0,,,,COUNTY,,TGS,,,,,,,,,,,,,,,,,,,ALTERNATE,,,,1
POINT (-81.4984321004 31.2609963996),9,1681,10211157,GLYNN COUNTY EMERGENCY MANAGEMENT AGENCY,912-554-7826,157 PUBLIC SAFETY BOULEVARD,GLYNN COUNTY POLICE DEPARTMENT,BRUNSWICK,GA,31525,8906,GLYNN,13127,,,,,2009-09-01T00:00:00.000Z,PHONE,2009-10-27T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",769261396,-81.498432,31.260996,NAVTEQ,2009Q2,ONENTITY,t,TGS,Y,N,,0,0,,,,COUNTY,,GAOHS,,,,,,,,,,,,,,,,,,,,,,,1
POINT (-80.2651270999 26.2642838001),10,1986,10220339,CITY OF CORAL SPRINGS EMERGENCY OPERATIONS CENTER,954-346-1024,2801 CORAL SPRINGS DRIVE,CORAL SPRINGS PUBLIC SAFETY BUILDING,CORAL SPRINGS,FL,33065,3825,BROWARD,12011,EAST SIDE OF CORAL SPRINGS DRIVE BETWEEN NORTHWEST 28TH COURT AND NORTHWEST 25TH STREET.,,,,2009-08-31T00:00:00.000Z,PHONE,2009-08-31T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",22441339,-80.265127,26.264284,NAVTEQ,2009Q2,ONENTITY,t,TGS,Y,N,HTTP://WWW.CORALSPRINGS.ORG/POLICE/DIVISIONS/OEM.CFM,0,0,,,,LOCAL,,TGS,,,,,,,,,,,,,,,,,,,,,,,1
