geometry,objectid,id,name,telephone,address,address2,city,state,zip,zipp4,county,fips,directions,emergtitle,emergtel,emergext,contdate,conthow,geodate,geohow,hsipthemes,naicscode,naicsdescr,geolinkid,x,y,st_vendor,st_version,geoprec,phoneloc,qc_qa,website,fcode,gnis_id,source,govt_level,tot_staff,spec_equip,sdr
POINT (-122.379594062 40.5498129414),1001,11613145,SHASTA COUNTY PUBLIC HEALTH DEPARTMENT,530-225-5591,2650 BRESLAUER WAY,,REDDING,CA,96001,4246,SHASTA,06089,,,,,2009-12-08T00:00:00.000Z,PHONE,2009-12-08T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,127817294,-122.379594,40.549813,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.CO.SHASTA.CA.US/HTML/PUBLIC_HEALTH/PH_INDEX.HTM,80028,,TECHNIGRAPHICS,LOCAL,0,,t
POINT (-121.7849395 42.2241672379),1002,11616735,KLAMATH COUNTY HEALTH DEPARTMENT,541-882-8846,403 PINE STREET,,KLAMATH FALLS,OR,97601,6061,KLAMATH,41035,,,,,2009-12-02T00:00:00.000Z,PHONE,2009-12-02T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,86886454,-121.784939,42.224167,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.CO.KLAMATH.OR.US/HEALTHDEPT/INDEX.HTM,80028,,TECHNIGRAPHICS,LOCAL,0,,t
POINT (-92.7213797529 35.1669456627),1003,11616453,CONWAY COUNTY HEALTH UNIT - MORRILTON,501-354-4652,100 HOSPITAL DRIVE,,MORRILTON,AR,72110,4516,CONWAY,05029,,,,,2009-12-07T00:00:00.000Z,PHONE,2009-12-07T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,124122995,-92.72138,35.166946,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.HEALTHYARKANSAS.COM/UNITS/NWN.PHP#CONWAY,80028,,ARGIO/ARDOH,LOCAL,0,,t
POINT (-119.146872135 34.2179901368),1004,11613155,VENTURA COUNTY PUBLIC HEALTH DEPARTMENT,805-981-5172,2240 EAST GONZALES ROAD,,OXNARD,CA,93036,8210,VENTURA,06111,,,,,2009-12-08T00:00:00.000Z,PHONE,2009-12-08T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,24178783,-119.146872,34.21799,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.VCHCA.ORG/PH/INDEX.HTM,80028,,TECHNIGRAPHICS,LOCAL,0,,t
POINT (-96.932332771 29.448233204),1005,11616973,TEXAS DEPARTMENT OF STATE HEALTH SERVICES - HALLETTSVILLE,361-798-4371,1309 EAST CEMETERY ROAD,,HALLETTSVILLE,TX,77964,4531,LAVACA,48285,,,,,2009-12-21T00:00:00.000Z,PHONE,2009-12-21T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,122460143,-96.932333,29.448233,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS,,80028,,TECHNIGRAPHICS,LOCAL,0,,t
POINT (-92.0325149677 44.3817493943),1006,11615072,WABASHA COUNTY PUBLIC HEALTH,651-565-5200,107 EAST 3RD STREET,,WABASHA,MN,55981,1470,WABASHA,27157,,,,,2009-12-03T00:00:00.000Z,PHONE,2009-12-03T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,100995897,-92.032515,44.381749,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.CO.WABASHA.MN.US/INDEX.PHP?OPTION=COM_CONTENT&TASK=CATEGORY&SECTIONID=4&ID=46&ITEMID=78,80028,,TECHNIGRAPHICS,LOCAL,0,,t
POINT (-101.30440939 48.2249446219),1007,11614432,FIRST DISTRICT HEALTH UNIT,701-852-1376,801 11TH AVENUE SOUTHWEST,,MINOT,ND,58701,4274,WARD,38101,,,,,2009-11-18T00:00:00.000Z,PHONE,2009-11-18T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,100781480,-101.304409,48.224945,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.FDHU.ORG/,80028,,TECHNIGRAPHICS,LOCAL,0,,t
POINT (-95.0623306613 46.9164597118),1008,11615025,SAINT JOSEPH'S AREA HEALTH SERVICES,218-732-4552,600 PLEASANT AVENUE,,PARK RAPIDS,MN,56470,1431,HUBBARD,27057,,,,,2009-11-30T00:00:00.000Z,PHONE,2009-11-30T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,100901495,-95.062331,46.91646,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.SJAHS.ORG/,80028,2093908,TECHNIGRAPHICS,LOCAL,0,,t
POINT (-98.8598406674 48.1135331493),1009,11614443,LAKE REGION DISTRICT HEALTH UNIT,701-662-7035,524 4TH AVENUE NORTHEAST,UNIT 9,DEVILS LAKE,ND,58301,2490,RAMSEY,38071,,,,,2009-11-24T00:00:00.000Z,PHONE,2009-11-24T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,100786675,-98.859841,48.113533,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.NDHEALTH.GOV/LOCALHD/LRDHU/,80028,,TECHNIGRAPHICS,LOCAL,0,,t
POINT (-91.8325467031 30.1228199195),1010,11614361,SAINT MARTIN PARISH HEALTH UNITS,337-394-3097,301 WEST PORT STREET,,SAINT MARTINVILLE,LA,70582,3923,ST MARTIN,22099,,,,,2009-11-20T00:00:00.000Z,PHONE,2009-11-20T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,99485130,-91.832547,30.12282,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.STMARTINPARISH-LA.ORG/DEPTHEALTH.HTML,80028,,TECHNIGRAPHICS,LOCAL,0,,t
