geometry,objectid,id,name,telephone,address,address2,city,state,zip,zipp4,county,fips,directions,emergtitle,emergtel,emergext,contdate,conthow,geodate,geohow,hsipthemes,naicscode,naicsdescr,geolinkid,x,y,st_vendor,st_version,geoprec,phoneloc,qc_qa,ucaoa_id
POINT (-84.1615716333 35.8801187098),4001,11513140,FARRAGUT WALK-IN CLINIC,865-671-6026,11408 KINGSTON PIKE,,KNOXVILLE,TN,37934,3975,KNOX,47093,"LOC ON THE SOUTHEAST SIDE OF KINGSTON PIKE, APPR .1 MILES SOUTHWEST OF S CAMPBELL STATION RD.",,,,2009-02-11T00:00:00.000Z,PHONE,2009-02-11T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24657452,-84.161572,35.880119,NAVTEQ,2008Q1,ONENTITY,t,TGS,
POINT (-84.4223299591 39.1639540845),4002,10422042,TRISTATE URGENT CARE OF OAKLEY,513-531-1505,5002 RIDGE AVENUE,,CINCINNATI,OH,45209,5015,HAMILTON,39061,LOCATED ON THE NORTH WEST CORNER OF RIDGE AVE AND CALVERT ST,,,,2009-01-30T00:00:00.000Z,PHONE,2009-01-30T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",32010448,-84.42233,39.163954,NAVTEQ,2008Q1,ONENTITY,t,TGS,UC_3004
POINT (-81.6321559925 30.1449766385),4003,10425970,SOLANTIC WALK-IN URGENT CARE - MANDARIN,904-288-0277,12303 SAN JOSE BOULEVARD,,JACKSONVILLE,FL,32223,2640,DUVAL,12031,LOCATED ON THE SE CORNER OF PADDLE CREEK DR AND SR-13.,,,,2008-02-07T00:00:00.000Z,PHONE,2008-02-07T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",23055221,-81.632156,30.144977,NAVTEQ,2008Q1,BLOCKFACE,t,TGS,
POINT (-76.9569441354 40.2053115101),4004,10844061,CONCENTRA URGENT CARE - HARRISBURG WEST,717-795-1819,4910 RITTER ROAD,,MECHANICSBURG,PA,17055,4891,CUMBERLAND,42041,"LOC ON THE NORTHEAST SIDE OF RITTER RD, LESS THAN .1 MILES NORTHWEST OF LOUISE DR.",,,,2009-02-02T00:00:00.000Z,PHONE,2009-02-02T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",43026986,-76.956944,40.205312,NAVTEQ,2008Q1,ONENTITY,t,TGS,
POINT (-66.2613407982 18.1431536025),4005,11513174,EL CENTRO HERIDAS Y ULCERAS,787-735-8001,CALLE JOSE C VAZQUEZ,,AIBONITO,PR,00705,,AIBONITO,72009,S SIDE OF CALLE DR GEORGE D TROYER ABOUT .1 MI E OF CALLE JOSE C VAZQUEZ,,,,2009-02-12T00:00:00.000Z,PHONE,2009-02-12T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",120166426,-66.261341,18.143154,NAVTEQ,2008Q1,ONENTITY,f,TGS,
POINT (-80.1073600633 26.2107404455),4006,10844294,SOLANTIC WALK-IN URGENT CARE - POMPANO BEACH,954-580-4401,1611 SOUTH FEDERAL HIGHWAY,,POMPANO BEACH,FL,33062,7514,BROWARD,12011,LOCATED ON THE WEST SIDE OF S FEDERAL HWY BETWEEN NE 65TH ST AND SE 15TH ST,,,,2009-01-15T00:00:00.000Z,PHONE,2009-01-15T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",127627702,-80.10736,26.21074,NAVTEQ,2008Q1,ONENTITY,t,TGS,
POINT (-80.0895389636 26.8088653453),4007,10469731,GARDENS URGENT CARE,561-626-4878,3555 NORTHLAKE BOULEVARD,,WEST PALM BEACH,FL,33403,1650,PALM BEACH,12099,169 YARDS WEST OF MCARTHUR BLVD ON THE NORTH SIDE OF NORTHLAKE BLVD,,,,2008-03-10T00:00:00.000Z,PHONE,2008-03-10T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",22612206,-80.089539,26.808865,NAVTEQ,2008Q1,BLOCKFACE,t,TGS,
POINT (-80.089283148 40.313102785),4008,10470864,MEDEXPRESS URGENT CARE - SOUTH HILLS,412-854-3627,2600 OLD WASHINGTON ROAD,,UPPER SAINT CLAIR,PA,15241,2524,ALLEGHENY,42003,ON THE W SIDE OF OLD WASHINGTON RD BETWEEN BOYCE RD AND PHILLIP DR,,,,2008-03-17T00:00:00.000Z,PHONE,2008-03-17T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",126742205,-80.089283,40.313103,NAVTEQ,2008Q1,BLOCKFACE,t,TGS,
POINT (-83.6434070724 32.6193230077),4009,11513712,HOUSTON MEDICAL CENTER - PAVILLION MED STOP,478-923-2843,233 NORTH HOUSTON ROAD,,WARNER ROBINS,GA,31093,3074,HOUSTON,13153,"LOCATED ON THE WEST SIDE OF NORTH HOUSTON ROAD, BETWEEN BIRCH AVENUE AND WATSON BOULEVARD.",,,,2009-02-19T00:00:00.000Z,PHONE,2009-02-19T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",104730333,-83.643407,32.619323,NAVTEQ,2008Q1,ONENTITY,t,TGS,
POINT (-84.144008361 35.8917447448),4010,11513134,DOCTORS CARE - KNOXVILLE,865-675-3311,101 GLENLEIGH COURT,,KNOXVILLE,TN,37934,3052,KNOX,47093,LOC ON THE SOUTH CORNER OF THE T-INTERSECTION OF KINGSTON PIKE & GLENLEIGH CT.,,,,2009-02-11T00:00:00.000Z,PHONE,2009-02-11T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24658080,-84.144008,35.891745,NAVTEQ,2008Q1,ONENTITY,t,TGS,
