x_geometry,x_objectid_1,x_id,x_name,x_telephone,x_address,x_address2,x_city,x_state,x_zip,x_zipp4,x_county,x_fips,x_directions,x_emergtitle,x_emergtel,x_emergext,x_contdate,x_conthow,x_geodate,x_geohow,x_hsipthemes,x_naicscode,x_naicsdescr,x_geolinkid,x_x,x_y,x_st_vendor,x_st_version,x_geoprec,x_phoneloc,x_qc_qa,x_port_type,x_bordpatsec,x_contact,x_fax_number,x_hours_oper,x_remark,x_ruleid,x_objectid
POINT (-80.0927555209 26.6784658543),1,11549972,"WEST PALM BEACH PORT OF ENTRY, WEST PALM BEACH INTERNATIONAL AIRPORT",561-233-1080,1612 PERIMETER ROAD,GENERAL AVIATION FACILITY,WEST PALM BEACH,FL,33406,1422,PALM BEACH,12099,,,,,2009-09-16T00:00:00.000Z,PHONE,2009-09-16T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,134927891,-80.092755,26.678466,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT,,PORT DIRECTOR,561-844-5576,,,1,57
POINT (-73.7819502685 40.6434830931),2,11550127,"JOHN FITZGERALD KENNEDY INTERNATIONAL AIRPORT PORT OF ENTRY, JOHN FITZGERALD KENNEDY INTERNATIONAL AIRPORT",718-487-5164,JOHN FITZGERALD KENNEDY EXPRESSWAY AND SOUTH CARGO ROAD,,JAMAICA,NY,11430,,QUEENS,36081,,,,,2009-09-14T00:00:00.000Z,ALT REF,2009-09-14T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,21657741,-73.78195,40.643483,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,PORT DIRECTOR,,8:00 AM - 5:00 PM,1-877-CUSTOMS,1,131
POINT (-75.5284686633 39.7140325447),3,11550018,"WILMINGTON PORT OF ENTRY, WILMINGTON MARINE TERMINAL",302-326-0600,1 HAUSEL ROAD,WAREHOUSE G,WILMINGTON,DE,19801,5800,NEW CASTLE,10003,,,,,2009-09-18T00:00:00.000Z,PHONE,2009-09-18T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,18843519,-75.528469,39.714033,NAVTEQ,2009Q2,ONENTITY,NO,TGS,WATER PORT,,PORT DIRECTOR,302-326-0828,8:00 AM - 5:00 PM,1-877-CUSTOMS,1,38
POINT (-89.818813745 38.5493454734),4,11550470,"MASCOUTAH/MIDAMERICA/SAINT LOUIS PORT OF ENTRY, MIDAMERICA SAINT LOUIS AIRPORT",618-566-5341,8810 RICHARD BRAUER ROAD,,MASCOUTAH,IL,62258,5506,ST CLAIR,17163,,,,,2009-09-14T00:00:00.000Z,ALT REF,2009-09-18T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,33305507,-89.818814,38.549346,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,,,,,0,0
POINT (-165.441586424 64.5077791767),5,11551890,"NOME PORT OF ENTRY, NOME AIRPORT",907-443-5846,SEPPALA DRIVE,,NOME,AK,99762,,NOME,02180,,,,,2009-09-17T00:00:00.000Z,ALT REF,2010-01-11T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,124850302,-165.441586,64.507779,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,,,,,0,0
POINT (-76.7035624934 34.7202221581),6,11550110,"MOREHEAD CITY-BEAUFORT PORT OF ENTRY, PORT OF MOREHEAD CITY",252-726-5845,113 ARENDELL STREET,,MOREHEAD CITY,NC,28557,4268,CARTERET,37031,,,,,2009-09-15T00:00:00.000Z,PHONE,2009-09-15T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,102106565,-76.703563,34.720222,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT,,PORT DIRECTOR,919-726-6159,8:00 AM - 5:00 PM,1-877-CUSTOMS,1,112
POINT (-97.3932510988 27.8039893035),281,11550170,"CORPUS CHRISTI PORT OF ENTRY, PORT CORPUS CHRISTI",361-888-3352,222 POWER STREET,,CORPUS CHRISTI,TX,78401,1529,NUECES,48355,,,,,2010-01-08T00:00:00.000Z,ALT REF,2010-01-08T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,88543036,-97.393251,27.803989,NAVTEQ,2009Q2,ONENTITY,,TGS,WATER PORT,,PORT DIRECTOR,361-888-3358,8:00 AM - 5:00 PM,,1,176
POINT (-70.921872985 41.6389388149),282,11550063,"FALL RIVER (NEW BEDFORD) PORT OF ENTRY, PORT OF NEW BEDFORD",508-994-5158,267 MACARTHUR DRIVE,,NEW BEDFORD,MA,02740,7300,BRISTOL,25005,,,,,2010-01-11T00:00:00.000Z,ALT REF,2010-01-11T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,92826630,-70.921873,41.638939,NAVTEQ,2009Q2,ONENTITY,,TGS,WATER PORT,,PORT DIRECTOR,508-979-1285,8:00 AM - 5:00 PM,,1,88
POINT (-132.379703003 56.4851941026),7,11549995,"WRANGELL PORT OF ENTRY, WRANGELL AIRPORT",907-874-3415,1300 AIRPORT LOOP ROAD,,WRANGELL,AK,99929,,WRANGELL-PETERSBURG,02280,,,,,2009-09-16T00:00:00.000Z,ALT REF,2010-01-11T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,721684051,-132.379703,56.485194,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,PORT DIRECTOR,907-874-3415,,,1,14
POINT (-94.7126318279 39.2931377274),8,11550102,"KANSAS CITY PORT OF ENTRY, KANSAS CITY INTERNATIONAL AIRPORT",816-243-3676,601 BRASILIA AVENUE,,KANSAS CITY,MO,64153,2054,PLATTE,29165,,,,,2009-09-15T00:00:00.000Z,ALT REF,2009-09-15T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,25041843,-94.712632,39.293138,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,PORT DIRECTOR,816-584-8431,8:00 AM - 4:30 PM,,1,103
POINT (-165.42110082 64.5024012801),283,11624659,"NOME PORT OF ENTRY, PORT OF NOME",907-443-2143,307 BELMONT STREET,,NOME,AK,99762,,NOME,02180,,,,,2010-01-11T00:00:00.000Z,ALT REF,2010-01-12T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,124850324,-165.421101,64.502401,NAVTEQ,2009Q2,ONENTITY,,TGS,WATER PORT,,,,,,0,0
POINT (-76.2923379937 36.8459370514),284,11616962,"NORFOLK PORT OF ENTRY, PORT OF VIRGINIA",757-533-4200,101 EAST MAIN STREET,,NORFOLK,VA,23510,1605,NORFOLK CITY,51710,,,,,2010-01-11T00:00:00.000Z,ALT REF,2010-01-11T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,25235978,-76.292338,36.845937,NAVTEQ,2009Q2,ONENTITY,,TGS,WATER PORT,,,,,,0,0
POINT (-70.6590283065 42.6109651816),9,11550062,"GLOUCESTER PORT OF ENTRY, GLOUCESTER HARBOR",978-921-0782,19 HARBOR LOOP,,GLOUCESTER,MA,01930,5003,ESSEX,25009,,,,,2010-01-11T00:00:00.000Z,PHONE,2010-01-11T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,42668497,-70.659028,42.610965,NAVTEQ,2009Q2,ONENTITY,NO,TGS,WATER PORT,,PORT DIRECTOR,978-282-4678,8:00 AM - 4:30 PM,,1,87
POINT (-149.888437198 61.2390949132),10,11549991,"ANCHORAGE PORT OF ENTRY, PORT OF ANCHORAGE",907-271-2675,2000 ANCHORAGE PORT ROAD,,ANCHORAGE,AK,99501,1024,ANCHORAGE,02020,,,,,2010-01-06T00:00:00.000Z,PHONE,2010-01-11T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,124870105,-149.888437,61.239095,NAVTEQ,2009Q2,ONENTITY,NO,TGS,WATER PORT,,PORT DIRECTOR,907-271-2684,8:00 AM - 4:30 PM,,1,8
POINT (-111.670456198 33.3112656619),285,11557794,"PHOENIX-MESA GATEWAY AIRPORT PORT OF ENTRY, PHOENIX-MESA GATEWAY AIRPORT",480-279-2928,5803 SOUTH SOSSAMAN ROAD,,MESA,AZ,85212,5823,MARICOPA,04013,,,,,2009-09-18T00:00:00.000Z,PHONE,2009-09-18T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,762876461,-111.670456,33.311266,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT,,,,,,0,0
POINT (-81.7552976315 24.5537178044),286,11550022,"KEY WEST PORT OF ENTRY, KEY WEST INTERNATIONAL AIRPORT",305-296-5411,3491 SOUTH ROOSEVELT BOULEVARD,ADAM ARNOLD ANNEX BUILDING,KEY WEST,FL,33040,5295,MONROE,12087,,,,,2009-09-16T00:00:00.000Z,PHONE,2009-09-17T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,106215310,-81.755298,24.553718,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT,,PORT DIRECTOR,305-536-4885,8:00 AM - 5:00 PM,,1,43
POINT (-117.174986958 32.7176878208),11,11573019,"SAN DIEGO PORT OF ENTRY, PORT OF SAN DIEGO",619-685-4300,1140 NORTH HARBOR DRIVE,,SAN DIEGO,CA,92101,3365,SAN DIEGO,06073,,,,,2010-01-08T00:00:00.000Z,PHONE,2010-01-08T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,732876223,-117.174987,32.717688,NAVTEQ,2009Q2,ONENTITY,NO,TGS,WATER PORT,,,,,,0,0
POINT (-87.5352505845 41.7235743345),12,11563206,"CHICAGO PORT OF ENTRY, PORT OF CHICAGO",847-928-3000,3600 EAST 95TH STREET,,CHICAGO,IL,60617,5100,COOK,17031,,,,,2010-01-08T00:00:00.000Z,PHONE,2010-01-08T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,108741170,-87.535251,41.723574,NAVTEQ,2009Q2,ONENTITY,NO,TGS,WATER PORT,,,,,,0,0
POINT (-95.8886063092 36.1878601568),287,11550138,"TULSA PORT OF ENTRY, TULSA INTERNATIONAL AIRPORT",918-832-4130,2222 NORTH CARGO ROAD,,TULSA,OK,74115,2356,TULSA,40143,,,,,2009-09-18T00:00:00.000Z,PHONE,2009-09-18T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,89760676,-95.888606,36.18786,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT,,PORT DIRECTOR,918-832-4135,8:30 AM - 5:00 PM,,1,143
POINT (-86.751111308 33.5627747743),288,11549996,"BIRMINGHAM PORT OF ENTRY, BIRMINGHAM-SHUTTLESWORTH INTERNATIONAL AIRPORT",205-595-0533,5900 MESSER AIRPORT HIGHWAY,,BIRMINGHAM,AL,35212,1057,JEFFERSON,01073,,,,,2009-09-10T00:00:00.000Z,ALT REF,2009-09-10T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,133515988,-86.751111,33.562775,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,PORT DIRECTOR,205-731-0776,8:00 AM - 5:00 PM,,1,15
POINT (-84.5889467815 42.7750768627),289,11550510,"CAPITAL REGION INTERNATIONAL AIRPORT LANSING PORT OF ENTRY, CAPITAL CITY AIRPORT",517-327-1052,4100 CAPITAL CITY BOULEVARD,,LANSING,MI,48906,2170,CLINTON,26037,,,,,2009-09-17T00:00:00.000Z,PHONE,2009-09-17T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,16878395,-84.588947,42.775077,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT,,,,,,0,0
POINT (-122.94748781 45.53312154),290,11550512,"HILLSBORO PORT OF ENTRY, HILLSBORO AIRPORT",503-693-1069,3355 NORTHEAST CORNELL ROAD,SUITE 5,HILLSBORO,OR,97124,5018,WASHINGTON,41067,,,,,2009-09-17T00:00:00.000Z,PHONE,2009-09-17T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,21327289,-122.947488,45.533122,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT,,,,,,0,0
POINT (-81.1072163504 32.0909717961),13,11616964,"SAVANNAH PORT OF ENTRY, PORT OF SAVANNAH",912-447-9400,950 WEST RIVER STREET,,SAVANNAH,GA,31401,1132,CHATHAM,13051,,,,,2010-01-08T00:00:00.000Z,PHONE,2010-01-08T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,778155973,-81.107216,32.090972,NAVTEQ,2009Q2,ONENTITY,NO,TGS,WATER PORT,,,,,,0,0
POINT (-73.7580235778 42.6263062928),14,11616958,"ALBANY PORT OF ENTRY, PORT OF ALBANY",518-465-9530,106 SMITH BOULEVARD,,ALBANY,NY,12202,1067,ALBANY,36001,,,,,2010-01-11T00:00:00.000Z,PHONE,2010-01-11T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,774449680,-73.758024,42.626306,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT,,,,,,0,0
POINT (-96.5924945369 33.1776367434),291,11550516,"MCKINNEY PORT OF ENTRY, COLLIN COUNTY REGIONAL AIRPORT AT MCKINNEY",972-562-2550,1500 EAST INDUSTRIAL BOULEVARD,,MCKINNEY,TX,75069,7516,COLLIN,48085,,,,,2009-09-17T00:00:00.000Z,ALT REF,2009-09-17T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,711389939,-96.592495,33.177637,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,,,,,0,0
POINT (-117.377877038 34.5850145115),292,11551867,"VICTORVILLE / SOUTHERN CALIFORNIA LOGISTICS AIRPORT PORT OF ENTRY, SOUTHERN CALIFORNIA LOGISTICS AIRPORT",760-243-1925,18374 READINESS STREET,SUITE 13,VICTORVILLE,CA,92394,7930,SAN BERNARDINO,06071,,,,,2009-09-17T00:00:00.000Z,ALT REF,2009-09-18T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,37826910,-117.377877,34.585014,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,,,,,0,0
POINT (-88.5591039827 30.3671511911),15,11550107,"PASCAGOULA PORT OF ENTRY, PORT OF PASCAGUOULA",228-762-7311,535 DELMAS AVENUE,SUITE 2,PASCAGOULA,MS,39567,4143,JACKSON,28059,,,,,2009-09-15T00:00:00.000Z,PHONE,2009-09-15T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,99422964,-88.559104,30.367151,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT,,PORT DIRECTOR,228-762-7502,8:00 AM - 5:00 PM,,1,108
POINT (-83.3559094198 41.8999607346),16,11624727,"DETROIT PORT OF ENTRY, PORT OF MONROE",313-226-3136,2929 EAST FRONT STREET,,MONROE,MI,48161,1972,MONROE,26115,,,,,2010-01-07T00:00:00.000Z,PHONE,2010-01-07T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,46758233,-83.355909,41.899961,NAVTEQ,2009Q2,ONENTITY,,TGS,WATER PORT,,,,,,0,0
POINT (-71.0196351458 42.36979135),293,11549981,"LOGAN AIRPORT PORT OF ENTRY, GENERAL EDWARD LAWRENCE LOGAN INTERNATIONAL AIRPORT",617-568-1810,500 TERMINAL E,,EAST BOSTON,MA,02128,2015,SUFFOLK,25025,,,,,2009-09-18T00:00:00.000Z,ALT REF,2009-09-18T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,92818407,-71.019635,42.369791,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,PORT DIRECTOR,,,,1,209
POINT (-123.829102646 46.1900271094),294,11550139,"ASTORIA PORT OF ENTRY, WEST END MOURNING BASIN",503-325-5541,1402 MARINE DRIVE,,ASTORIA,OR,97103,3808,CLATSOP,41007,,,,,2009-09-16T00:00:00.000Z,PHONE,2009-09-11T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,109777539,-123.829103,46.190027,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT,,PORT DIRECTOR,503-325-8716,8:30AM - 4:30PM,EMERGENCY 24 HOUR CONTACT NUMBER (503)326-3515,1,144
POINT (-134.400880117 58.296279308),17,11616939,"JUNEAU PORT OF ENTRY, JUNEAU SEAPORT",907-586-7108,470 SOUTH FRANKLIN STREET,,JUNEAU,AK,99801,1328,JUNEAU,02110,,,,,2009-12-21T00:00:00.000Z,PHONE,2009-12-21T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,716819866,-134.40088,58.296279,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT,,,,,,0,0
POINT (-156.040811042 19.7393643893),18,11550096,"KONA PORT OF ENTRY, KONA INTERNATIONAL AIRPORT AT KEAHOLE",808-334-1850,73-100 KUPIPI STREET,,KAILUA/KONA,HI,96740,2644,HAWAII,15001,,,,,2009-09-11T00:00:00.000Z,ALT REF,2009-09-11T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,115751244,-156.040811,19.739364,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,PORT DIRECTOR,,,,1,218
