country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical_cases,total_cases_per_1m_pop,total_deaths_per_1m_pop
World,1361024,"+15,020",76201,"+1,547",293617,991206,47544,175,9.8
USA,367659,+655,10943,+72,19814,336902,8983,1111,33
Spain,140510,"+3,835",13798,+457,43208,83504,7069,3005,295
Italy,132547,,16523,,22837,93187,3898,2192,273
Germany,103375,,1810,,36081,65484,4895,1234,22
France,98010,,8911,,17250,71849,7072,1502,137
Iran,62589,"+2,089",3872,+133,27039,31678,3987,745,46
UK,51608,,5373,,135,46100,1559,760,79
Turkey,30217,,649,,1326,28242,1415,358,8
Switzerland,22242,+585,787,+22,8056,13399,391,2570,91
Belgium,22194,"+1,380",2035,+403,4157,16002,1260,1915,176
Netherlands,19580,+777,2101,+234,250,17229,1409,1143,123
Canada,16667,,323,,3616,12728,426,442,9
Austria,12461,+164,243,+23,4046,8172,243,1384,27
Portugal,12442,+712,345,+34,184,11913,271,1220,34
Brazil,12240,+57,566,+2,127,11547,296,58,3
S. Korea,10331,+47,192,+6,6694,3445,55,202,4
Israel,9006,+102,60,+3,683,8263,153,1040,7
Russia,7497,"+1,154",58,+11,494,6945,8,51,0.4
Sweden,7206,,477,,205,6524,590,714,47
Australia,5908,+13,48,+3,2547,3313,93,232,2
Norway,5866,+1,83,+7,32,5751,83,1082,15
Ireland,5364,,174,,25,5165,165,1086,35
Denmark,4978,+297,203,+16,1491,3284,144,859,35
India,4908,+130,137,+1,382,4389,,4,0.1
Czechia,4828,+6,80,+2,127,4621,86,451,7
Chile,4815,,37,,728,4050,327,252,2
Poland,4532,+119,111,+4,191,4230,50,120,3
Romania,4417,+360,184,+8,460,3773,274,230,10
Pakistan,4004,+238,55,+2,429,3520,28,18,0.2
Malaysia,3963,+170,63,+1,1321,2579,92,122,2
Japan,3906,,92,,592,3222,79,31,0.7
Philippines,3764,+104,177,+14,84,3503,1,34,2
Ecuador,3747,,191,,100,3456,156,212,11
Luxembourg,2843,,41,,500,2302,33,4542,65
Saudi Arabia,2752,+147,38,,551,2163,41,79,1
Indonesia,2738,+247,221,+12,204,2313,,10,0.8
Peru,2561,,92,,997,1472,89,78,3
Mexico,2439,+296,125,+31,633,1681,89,19,1
Finland,2308,+132,27,,300,1981,81,417,5
Thailand,2258,+38,27,+1,824,1407,30,32,0.4
Serbia,2200,,58,,118,2024,101,252,7
Panama,2100,,55,,14,2031,88,487,13
UAE,2076,,11,,167,1898,1,210,1
Qatar,1832,,4,,131,1697,37,636,1
Dominican Republic,1828,,86,,33,1709,147,169,8
Greece,1755,,81,+2,269,1405,90,168,8
South Africa,1686,,12,,95,1579,7,28,0.2
Argentina,1628,,53,,325,1250,94,36,1
Colombia,1579,,46,,88,1445,50,31,0.9
Iceland,1562,,6,,460,1096,11,4577,18
Ukraine,1462,+143,45,+7,28,1389,16,33,1
Algeria,1423,,173,,90,1160,46,32,4
Singapore,1375,,6,,344,1025,25,235,1
Egypt,1322,,85,,259,978,,13,0.8
Croatia,1222,,16,,130,1076,36,298,4
New Zealand,1160,+54,1,,241,918,14,241,0.2
Estonia,1149,+41,21,+2,69,1059,12,866,16
Morocco,1141,+21,83,+3,88,970,1,31,2
Iraq,1031,,64,,344,623,,26,2
Slovenia,1021,,30,,102,889,30,491,14
Moldova,965,,21,+2,40,904,80,239,5
Hong Kong,936,+21,4,,236,696,12,125,0.5
Lithuania,880,+37,15,,8,857,11,323,6
Armenia,853,+20,8,,87,758,30,288,3
Hungary,817,+73,47,+9,71,699,17,85,5
Bahrain,756,,4,,458,294,4,444,2
Bosnia and Herzegovina,754,+80,33,+4,68,653,4,230,10
Kuwait,743,+78,1,,105,637,23,174,0.2
Diamond Princess,712,,11,,619,82,10,,
Belarus,700,,13,,53,634,11,74,1
Kazakhstan,685,+23,6,,50,629,16,36,0.3
Cameroon,658,,9,,17,632,,25,0.3
Azerbaijan,641,,7,,44,590,11,63,0.7
Tunisia,596,,22,,5,569,39,50,2
Slovakia,581,+47,2,,8,571,3,106,0.4
North Macedonia,570,,23,,30,517,15,274,11
Bulgaria,565,+16,22,,42,501,26,81,3
Lebanon,548,+7,19,,60,469,27,80,3
Latvia,548,+6,2,+1,16,530,5,291,1
Andorra,525,,21,,31,473,12,6795,272
Uzbekistan,504,+47,2,,30,472,8,15,0.06
Costa Rica,467,,2,,18,447,14,92,0.4
Cyprus,465,,9,,45,411,11,385,7
Afghanistan,423,+56,14,+3,18,391,,11,0.4
Uruguay,415,,6,,123,286,14,119,2
Albania,383,+6,22,+1,131,230,7,133,8
Taiwan,376,+3,5,,61,310,,16,0.2
Oman,371,+40,2,,67,302,3,73,0.4
Burkina Faso,364,,18,,108,238,,17,0.9
Cuba,363,+13,9,,18,336,12,32,0.8
Jordan,349,,6,,126,217,5,34,0.6
Réunion,349,,,,40,309,4,390,
Channel Islands,334,+11,7,,27,300,,1921,40
Ivory Coast,323,,3,,41,279,,12,0.1
Honduras,305,+7,22,,6,277,10,31,2
Malta,293,+52,,,5,288,4,664,
Ghana,287,+73,5,,31,251,2,9,0.2
San Marino,277,,32,,35,210,14,8164,943
Palestine,260,+6,1,,24,235,,51,0.2
Niger,253,,10,,26,217,,10,0.4
Vietnam,249,+4,,,123,126,8,3,
Mauritius,244,,7,,7,230,2,192,6
Montenegro,239,+6,2,,3,234,7,381,3
Nigeria,238,,5,,35,198,2,1,0.02
Kyrgyzstan,228,+12,4,,33,191,5,35,0.6
Senegal,226,,2,,92,132,1,13,0.1
Georgia,195,+7,2,,39,154,6,49,0.5
Bolivia,194,+11,14,+3,2,178,3,17,1
Faeroe Islands,184,+1,,,129,55,2,3766,
Sri Lanka,183,+5,6,+1,42,135,5,9,0.3
Venezuela,165,,7,,65,93,6,6,0.2
Bangladesh,164,+41,17,+5,33,114,1,1,0.1
Mayotte,164,,2,,15,147,3,601,7
DRC,161,,18,,5,138,,2,0.2
Kenya,158,,6,,4,148,2,3,0.1
Martinique,151,,4,,50,97,20,402,11
Isle of Man,150,+11,1,,73,76,6,1764,12
Guadeloupe,139,,7,,31,101,14,347,17
Brunei,135,,1,,85,49,3,309,2
Guinea,128,,,,5,123,,10,
Paraguay,115,+2,5,,15,95,1,16,0.7
Cambodia,115,+1,,,58,57,1,7,
Gibraltar,109,,,,52,57,,3235,
Trinidad and Tobago,105,,8,,1,96,,75,6
Rwanda,105,,,,4,101,,8,
Djibouti,90,,,,9,81,,91,
Madagascar,82,,,,2,80,6,3,
El Salvador,78,+9,4,,5,69,4,12,0.6
Liechtenstein,77,,1,,55,21,,2020,26
Monaco,77,,1,,4,72,4,1962,25
Guatemala,74,+4,3,,17,54,3,4,0.2
French Guiana,72,,,,34,38,1,241,
Aruba,71,,,,2,69,,665,
Barbados,60,,2,,6,52,4,209,7
Jamaica,59,,3,,8,48,,20,1
Togo,58,,3,,23,32,,7,0.4
Ethiopia,52,+8,2,,4,46,1,0.5,0.02
Uganda,52,,,,,52,,1,
Mali,47,,5,,9,33,,2,0.2
Congo,45,,5,,2,38,,8,0.9
Macao,44,,,,10,34,1,68,
French Polynesia,42,,,,,42,,150,
Bermuda,39,,2,,17,20,,626,32
Cayman Islands,39,,1,,1,37,,593,15
Zambia,39,,1,,5,33,,2,0.05
Sint Maarten,37,,6,,1,30,,863,140
Bahamas,33,,5,,5,23,1,84,13
Guinea-Bissau,33,+15,,,,33,,17,
Saint Martin,32,,2,,7,23,6,828,52
Guyana,31,,5,+1,8,18,8,39,6
Eritrea,31,,,,,31,,9,
Gabon,30,+6,1,,1,28,,13,0.4
Benin,26,,1,,5,20,,2,0.08
Haiti,24,,1,,,23,,2,0.09
Tanzania,24,,1,,5,18,,0.4,0.02
