geometry,ident,type,name,latitude_d,longitude,elevation,continent,iso_countr,iso_region,municipali,scheduled,gps_code,iata_code,status,objectid
POINT (-76.5008 0.505228),SKAS,medium_airport,Tres De Mayo Airport,0.505228,-76.5008,815,South America,CO,CO-PUT,Puerto Asís,yes,SKAS,PUU,,3001
POINT (-73.1848 7.1265),SKBG,medium_airport,Palonegro Airport,7.1265,-73.1848,3897,South America,CO,CO-SAN,Bucaramanga,yes,SKBG,BGA,,3002
POINT (-74.1469 4.70159),SKBO,large_airport,El Dorado International Airport,4.70159,-74.1469,8361,South America,CO,CO-CUN,Bogota,yes,SKBO,BOG,Restrictions,3003
POINT (-74.7808 10.8896),SKBQ,medium_airport,Ernesto Cortissoz International Airport,10.8896,-74.7808,98,South America,CO,CO-ATL,Barranquilla,yes,SKBQ,BAQ,Restrictions,3004
POINT (-77.3947 6.20292),SKBS,medium_airport,José Celestino Mutis Airport,6.20292,-77.3947,80,South America,CO,CO-CHO,Bahía Solano,yes,SKBS,BSC,,3005
POINT (-76.9898 3.81963),SKBU,medium_airport,Gerardo Tobar López Airport,3.81963,-76.9898,48,South America,CO,CO-VAC,Buenaventura,yes,SKBU,BUN,,3006
POINT (-72.5115 7.92757),SKCC,medium_airport,Camilo Daza International Airport,7.92757,-72.5115,1096,South America,CO,CO-NSA,Cúcuta,yes,SKCC,CUC,Restrictions,3007
POINT (-75.513 10.4424),SKCG,medium_airport,Rafael Nuñez International Airport,10.4424,-75.513,4,South America,CO,CO-BOL,Cartagena,yes,SKCG,CTG,Restrictions,3008
POINT (-76.3816 3.54322),SKCL,medium_airport,Alfonso Bonilla Aragon International Airport,3.54322,-76.3816,3162,South America,CO,CO-VAC,Cali,yes,SKCL,CLO,Restrictions,3009
POINT (-78.7492 1.81442),SKCO,medium_airport,La Florida Airport,1.81442,-78.7492,8,South America,CO,CO-NAR,Tumaco,yes,SKCO,TCO,,3010
POINT (-75.2856 9.33274),SKCZ,medium_airport,Las Brujas Airport,9.33274,-75.2856,528,South America,CO,CO-SUC,Corozal,yes,SKCZ,CZU,,3011
POINT (-73.8068 7.02433),SKEJ,medium_airport,Yariguíes Airport,7.02433,-73.8068,412,South America,CO,CO-SAN,Barrancabermeja,yes,SKEJ,EJA,,3012
POINT (-75.5644 1.58919),SKFL,medium_airport,Gustavo Artunduaga Paredes Airport,1.58919,-75.5644,803,South America,CO,CO-CAQ,Florencia,yes,SKFL,FLA,,3013
POINT (-75.9557 4.75818),SKGO,medium_airport,Santa Ana Airport,4.75818,-75.9557,2979,South America,CO,CO-VAC,Cartago,yes,SKGO,CRC,,3014
POINT (-77.8986 2.57013),SKGP,medium_airport,Juan Casiano Airport,2.57013,-77.8986,164,South America,CO,CO-CAU,Guapi,yes,SKGP,GPI,,3015
POINT (-76.98680115 -0.462886006),SECO,medium_airport,Francisco De Orellana Airport,-0.462886006,-76.98680115,834,South America,EC,EC-D,Coca,yes,SECO,OCC,,3016
POINT (-78.98439789 -2.8894701),SECU,medium_airport,Mariscal Lamar Airport,-2.8894701,-78.98439789,8306,South America,EC,EC-A,Cuenca,yes,SECU,CUE,,3017
POINT (-79.88359833 -2.15741992),SEGU,medium_airport,José Joaquín de Olmedo International Airport,-2.15741992,-79.88359833,19,South America,EC,EC-G,Guayaquil,yes,SEGU,GYE,,3018
POINT (-78.61579895 -0.906832993),SELT,large_airport,Cotopaxi International Airport,-0.906832993,-78.61579895,9205,South America,EC,EC-X,Latacunga,yes,SELT,LTX,,3019
POINT (-78.1207962 -2.299170017),SEMC,medium_airport,Coronel E Carvajal Airport,-2.299170017,-78.1207962,3452,South America,EC,EC-S,Macas,yes,SEMC,XMS,,3020
POINT (-80.67880249 -0.946078002),SEMT,medium_airport,Eloy Alfaro International Airport,-0.946078002,-80.67880249,48,South America,EC,EC-M,Manta,yes,SEMT,MEC,,3021
POINT (-78.3575 -0.129166667),SEQM,large_airport,Mariscal Sucre International Airport,-0.129166667,-78.3575,7841,South America,EC,EC-P,Quito,yes,SEQM,UIO,screening,3022
POINT (-77.70809937 0.809505999),SETU,medium_airport,Teniente Coronel Luis a Mantilla Airport,0.809505999,-77.70809937,9649,South America,EC,EC-C,Tulcán,yes,SETU,TUA,,3023
POINT (-79.996957 -3.441986),SERO,medium_airport,Santa Rosa International Airport,-3.441986,-79.996957,20,South America,EC,EC-O,Santa Rosa,yes,SERO,ETR,,3024
POINT (-58.44720078 -51.82279968),EGYP,medium_airport,Mount Pleasant Airport,-51.82279968,-58.44720078,244,South America,FK,FK-U-A,Mount Pleasant,yes,EGYP,MPN,,3025
POINT (-57.77759933 -51.68569946),SFAL,medium_airport,Port Stanley Airport,-51.68569946,-57.77759933,75,South America,FK,FK-U-A,Stanley,yes,SFAL,PSY,,3026
POINT (-52.36040115 4.819809914),SOCA,medium_airport,Cayenne-Rochambeau Airport,4.819809914,-52.36040115,26,South America,GF,GF-CY,Cayenne / Rochambeau,yes,SOCA,CAY,,3027
POINT (-59.49148178 5.172754765),PKSA,medium_airport,Kaieteur International Airport,5.172754765,-59.49148178,1520,South America,GY,GY-PT,Kaieteur Falls,yes,SYKA,KAI,,3028
POINT (-58.2541008 6.498549938),SYCJ,medium_airport,Cheddi Jagan International Airport,6.498549938,-58.2541008,95,South America,GY,GY-DE,Georgetown,yes,SYCJ,GEO,screening,3029
POINT (-58.10589981 6.806280136),SYGO,medium_airport,Ogle Airport,6.806280136,-58.10589981,10,South America,GY,GY-DE,Ogle,yes,SYGO,OGL,,3030
POINT (-59.78939819 3.372760057),SYLT,medium_airport,Lethem Airport,3.372760057,-59.78939819,351,South America,GY,GY-UT,Lethem,yes,SYLT,LTM,,3031
POINT (-74.57430267 -8.377940178),SPCL,medium_airport,Cap FAP David Abenzur Rengifo International Airport,-8.377940178,-74.57430267,513,South America,PE,PE-UCA,Pucallpa,yes,SPCL,PCL,,3032
POINT (-78.52380371 -9.149609566),SPEO,medium_airport,Teniente FAP Jaime A De Montreuil Morales Airport,-9.149609566,-78.52380371,69,South America,PE,PE-ANC,Chimbote,yes,SPEO,CHM,,3033
POINT (-79.82810211 -6.787479877),SPHI,medium_airport,Capitan FAP Jose A Quinones Gonzales International Airport,-6.787479877,-79.82810211,97,South America,PE,PE-LAM,Chiclayo,yes,SPHI,CIX,Restrictions,3034
POINT (-74.20439911 -13.15480042),SPHO,medium_airport,Coronel FAP Alfredo Mendivil Duarte Airport,-13.15480042,-74.20439911,8917,South America,PE,PE-AYA,Ayacucho,yes,SPHO,AYP,,3035
POINT (-77.114304 -12.0219),SPIM,large_airport,Jorge Chávez International Airport,-12.0219,-77.114304,113,South America,PE,PE-LIM,Lima,yes,SPJC,LIM,Restrictions,3036
POINT (-78.774002 -5.59248),SPJE,medium_airport,Shumba Airport,-5.59248,-78.774002,2477,South America,PE,PE-CAJ,Jaén,yes,SPJE,JAE,,3037
POINT (-75.4733963 -11.78310013),SPJJ,medium_airport,Francisco Carle Airport,-11.78310013,-75.4733963,11034,South America,PE,PE-JUN,Jauja,yes,SPJJ,JAU,,3038
POINT (-70.15820313 -15.46710014),SPJL,medium_airport,Inca Manco Capac International Airport,-15.46710014,-70.15820313,12552,South America,PE,PE-PUN,Juliaca,yes,SPJL,JUL,Restrictions,3039
POINT (-78.48940277 -7.139180183),SPJR,medium_airport,Mayor General FAP Armando Revoredo Iglesias Airport,-7.139180183,-78.48940277,8781,South America,PE,PE-CAJ,Cajamarca,yes,SPJR,CJA,,3040
POINT (-80.38140106 -3.55253005),SPME,medium_airport,Capitan FAP Pedro Canga Rodriguez Airport,-3.55253005,-80.38140106,115,South America,PE,PE-TUM,Tumbes,yes,SPME,TBP,,3041
POINT (-76.11820221 -5.893770218),SPMS,medium_airport,Moises Benzaquen Rengifo Airport,-5.893770218,-76.11820221,587,South America,PE,PE-LOR,Yurimaguas,yes,SPMS,YMS,,3042
POINT (-76.20480347 -9.878809929),SPNC,medium_airport,Alferez Fap David Figueroa Fernandini Airport,-9.878809929,-76.20480347,6070,South America,PE,PE-HUC,Huánuco,yes,SPNC,HUU,,3043
POINT (-73.30879974 -3.784739971),SPQT,medium_airport,Coronel FAP Francisco Secada Vignetta International Airport,-3.784739971,-73.30879974,306,South America,PE,PE-LOR,Iquitos,yes,SPQT,IQT,Restrictions,3044
POINT (-71.58309937 -16.34110069),SPQU,medium_airport,Rodríguez Ballón International Airport,-16.34110069,-71.58309937,8405,South America,PE,PE-ARE,Arequipa,yes,SPQU,AQP,Restrictions,3045
POINT (-79.1088028 -8.081410408),SPRU,medium_airport,Capitan FAP Carlos Martinez De Pinillos International Airport,-8.081410408,-79.1088028,106,South America,PE,PE-LAL,Trujillo,yes,SPRU,TRU,Restrictions,3046
POINT (-76.37319946 -6.508739948),SPST,medium_airport,Cadete FAP Guillermo Del Castillo Paredes Airport,-6.508739948,-76.37319946,869,South America,PE,PE-SAM,Tarapoto,yes,SPST,TPP,,3047
POINT (-70.27580261 -18.05330086),SPTN,medium_airport,Coronel FAP Carlos Ciriani Santa Rosa International Airport,-18.05330086,-70.27580261,1538,South America,PE,PE-TAC,Tacna,yes,SPTN,TCQ,Restrictions,3048
POINT (-69.22859955 -12.61359978),SPTU,medium_airport,Padre Aldamiz International Airport,-12.61359978,-69.22859955,659,South America,PE,PE-MDD,Puerto Maldonado,yes,SPTU,PEM,Restrictions,3049
POINT (-80.61640167 -5.205749989),SPUR,medium_airport,Capitán FAP Guillermo Concha Iberico International Airport,-5.205749989,-80.61640167,120,South America,PE,PE-PIU,Piura,yes,SPUR,PIU,Restrictions,3050
POINT (-81.25409698 -4.576640129),SPYL,medium_airport,Capitan Montes Airport,-4.576640129,-81.25409698,282,South America,PE,PE-PIU,Talara,yes,SPYL,TYL,,3051
POINT (-74.96150208 -14.85400009),SPZA,medium_airport,Maria Reiche Neuman Airport,-14.85400009,-74.96150208,1860,South America,PE,PE-ICA,Nazca,yes,SPZA,NZC,,3052
POINT (-71.938797 -13.53569984),SPZO,large_airport,Alejandro Velasco Astete International Airport,-13.53569984,-71.938797,10860,South America,PE,PE-CUS,Cusco,yes,SPZO,CUZ,Restrictions,3053
POINT (-57.52000046 -25.23999977),SGAS,medium_airport,Silvio Pettirossi International Airport,-25.23999977,-57.52000046,292,South America,PY,PY-11,Asunción,yes,SGAS,ASU,,3054
POINT (-54.842682 -25.454516),SGES,medium_airport,Guarani International Airport,-25.454516,-54.842682,846,South America,PY,PY-10,Ciudad del Este,yes,SGES,AGT,,3055
POINT (-55.18780136 5.452829838),SMJP,medium_airport,Johan Adolf Pengel International Airport,5.452829838,-55.18780136,59,South America,SR,SR-PR,Zandery,yes,SMJP,PBM,,3056
POINT (-56.03079987 -34.83840179),SUMU,large_airport,Carrasco International /General C L Berisso Airport,-34.83840179,-56.03079987,105,South America,UY,UY-MO,Montevideo,yes,SUMU,MVD,,3057
POINT (-69.23786926 9.553375244),SVAC,medium_airport,Oswaldo Guevara Mujica Airport,9.553375244,-69.23786926,640,South America,VE,VE-P,Acarigua,yes,SVAC,AGV,,3058
POINT (-64.68920135 10.10709953),SVBC,medium_airport,General Jose Antonio Anzoategui International Airport,10.10709953,-64.68920135,26,South America,VE,VE-B,Barcelona,yes,SVBC,BLA,,3059
POINT (-70.22080231 8.619569778),SVBI,medium_airport,Barinas Airport,8.619569778,-70.22080231,666,South America,VE,VE-E,Barinas,yes,SVBI,BNS,,3060
POINT (-69.35861969 10.04274654),SVBM,medium_airport,Barquisimeto International Airport,10.04274654,-69.35861969,2042,South America,VE,VE-K,Barquisimeto,yes,SVBM,BRM,,3061
POINT (-67.64942169 10.24997807),SVBS,medium_airport,Escuela Mariscal Sucre Airport,10.24997807,-67.64942169,1338,South America,VE,VE-D,Maracay,yes,SVBS,MYC,,3062
POINT (-62.85443115 6.231988907),SVCN,medium_airport,Canaima Airport,6.231988907,-62.85443115,1450,South America,VE,VE-F,Canaima,yes,SVCN,CAJ,,3063
POINT (-63.2616806 10.66001415),SVCP,medium_airport,General Francisco Bermúdez Airport,10.66001415,-63.2616806,33,South America,VE,VE-R,Carúpano,yes,SVCP,CUP,,3064
POINT (-69.68090057 11.4149437),SVCR,medium_airport,José Leonardo Chirinos Airport,11.4149437,-69.68090057,52,South America,VE,VE-I,Coro,yes,SVCR,CZE,,3065
POINT (-64.13047028 10.45033264),SVCU,medium_airport,Cumaná (Antonio José de Sucre) Airport,10.45033264,-64.13047028,14,South America,VE,VE-R,,yes,SVCU,CUM,,3066
POINT (-70.15149689 11.78077507),SVJC,medium_airport,Josefa Camejo International Airport,11.78077507,-70.15149689,75,South America,VE,VE-I,Paraguaná,yes,SVJC,LSP,,3067
POINT (-71.7278595 10.55820847),SVMC,medium_airport,La Chinita International Airport,10.55820847,-71.7278595,239,South America,VE,VE-V,Maracaibo,yes,SVMC,MAR,,3068
POINT (-71.16104126 8.58207798),SVMD,medium_airport,Alberto Carnevalli Airport,8.58207798,-71.16104126,5007,South America,VE,VE-L,Mérida,yes,SVMD,MRD,,3069
POINT (-63.96659851 10.91260338),SVMG,medium_airport,Del Caribe Santiago Mariño International Airport,10.91260338,-63.96659851,74,South America,VE,VE-O,Isla Margarita,yes,SVMG,PMV,,3070
